source	target	weight
240509	240508	1.000
241449	241448	1.000
241452	241451	1.000
55376	55375	1.000
55377	55375	1.000
55377	55376	1.000
55378	55375	1.000
55378	55376	1.000
55378	55377	1.000
55379	55375	1.000
55379	55376	1.000
55379	55377	1.000
55379	55378	1.000
260026	260025	1.000
260027	260025	1.000
260027	260026	1.000
260028	260025	1.000
260028	260026	1.000
260028	260027	1.000
181744	181745	1.000
6268	6267	1.000
242938	240503	1.000
242938	240504	1.000
242938	240505	1.000
242938	240506	1.000
242938	240507	1.000
242938	240508	1.000
242938	240509	1.000
7622	7623	1.000
181743	181745	1.000
181743	181744	1.000
181742	181743	1.000
181742	181745	1.000
181742	181744	1.000
181741	181743	1.000
181741	181742	1.000
181741	181745	1.000
181741	181744	1.000
125093	125094	1.000
125092	125094	1.000
125092	125093	1.000
124431	124432	1.000
106373	106374	1.000
191676	191675	1.000
79489	79488	1.000
187313	187314	1.000
80205	80204	1.000
219872	219871	1.000
113913	113914	1.000
113912	113914	1.000
113912	113913	1.000
35766	35775	1.000
35766	35776	1.000
35766	35777	1.000
35766	35778	1.000
35766	35779	1.000
35766	35780	1.000
35766	35781	1.000
35767	35775	1.000
35767	35776	1.000
35767	35777	1.000
35767	35778	1.000
35767	35779	1.000
35767	35780	1.000
35767	35766	1.000
35767	35781	1.000
247126	247127	1.000
247125	247127	1.000
247125	247126	1.000
247124	247127	1.000
247124	247126	1.000
247124	247125	1.000
35768	35775	1.000
35768	35776	1.000
35768	35777	1.000
35768	35778	1.000
35768	35779	1.000
35768	35780	1.000
35768	35766	1.000
35768	35781	1.000
35768	35767	1.000
35769	35768	1.000
35769	35775	1.000
35769	35776	1.000
35769	35777	1.000
